Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of ??mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?","If , what condition(s) do you believe you have?",Have you been diagnosed with a mental health condition by a medical professional?,"If so, what condition(s) were you diagnosed with?",Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?
0,500-1000,0,1,,,1,1,,1,0,0,1,1,1,0,,,,,,,,1,,N/A (0t currently aware),0ne did,0ne did,"1, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,,Some of them,Maybe,,0,,,0,4,N/A,,0,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",0,,0,,3,38,Male,United Kingdom,,United Kingdom,,DevOps/SysAdmin|Supervisor/Team Lead,Never
0,26-100,0,1,,,0,0,,5,,,1,,,0,,,,,,,,1,,N/A (0t currently aware),0ne did,0ne did,"1, always",,Some of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,0,,,,1,0,5,"1, I observed",,,1,1,Attention Deficit Hyperactivity Disorder,,1,Attention Deficit Hyperactivity Disorder,1,3,4,44,Male,Netherlands,,Netherlands,,Back-end Developer|DevOps/SysAdmin,Never
0,More than 1000,1,,,,1,1,1,1,0,0,1,1,1,0,,,,,,,,1,"1, they all did",I was aware of some,"1, they all did","1, they all did",Sometimes,"1, all of them","1, all of them",Some of my previous employers,Some of my previous employers,0ne did,"1, all of them",1,,1,,,,5,"1, I experienced",0,1,1,1,"Psychotic Disorder (Schizophrenia, Schizoaffective, etc)",,1,"Psychotic Disorder (Schizophrenia, Schizoaffective, etc)",1,0,4,30,Male,Australia,,Australia,,Support,Sometimes
0,26-100,1,,0,0,1,0,,5,0,0,1,1,1,0,,,,,,,,1,Some did,"0, I only became aware later",0ne did,0ne did,"1, always",Some of them,0ne of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,"1, all of them",1,If it affected my work or was something obvious I would talk about it.,0,Because I would be scared they would think that it affects my work and I'm 0t worth hiring.,1,0,4,0,,0,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Personality Disorder (Borderline, Antisocial, Para0id, etc)|Obsessive-Compulsive Disorder",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Personality Disorder (Borderline, Antisocial, Para0id, etc)|Obsessive-Compulsive Disorder",1,3,3,26,Female,Germany,,Germany,,Dev Evangelist/Advocate,Always
0,6-25,1,,,,0,0,,2,0,0,,,,0,,,,,,,,1,,N/A (0t currently aware),0ne did,0ne did,,,0ne of them,Some of my previous employers,Some of my previous employers,,0ne of them,1,I would assume I was legally protected from issues arising from discussing it.,0,Would be worried about negative stereotypes/affecting the interviewers decision.,,0,,0,,0,0,0,,,0,,0,,,29,Male,United Kingdom,,United Kingdom,,Back-end Developer,Never
0,6-25,1,,0,,0,0,,3,,,,,,0,,,,,,,,1,Some did,I was aware of some,Some did,Some did,,Some of them,Some of them,"0, at 0ne of my previous employers",Some of my previous employers,Some did,Some of them,0,,0,,1,1,5,"1, I observed",,0,1,0,,,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,3,,32,Male,United States of America,Minnesota,United States of America,Minnesota,Executive Leadership,Sometimes
0,6-25,1,,,,0,0,,2,,,,,1,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,Some of them,Some of them,Some of my previous employers,"0, at 0ne of my previous employers",0ne did,0ne of them,1,It's often easier to talk about. Less stigma associated with it.,0,Stigma,,,2,/0t sure,0,,,0,,,0,,0,3,3,34,Male,United Kingdom,,United Kingdom,,Back-end Developer|Supervisor/Team Lead,Always
0,6-25,1,,0,,0,0,1,4,,,1,,,0,,,,,,,,1,Some did,"1, I was aware of all of them",0ne did,0ne did,"1, always",Some of them,0ne of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,0,,0,,1,0,4,0,,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder",1,0,3,26,Male,United States of America,Colorado,United States of America,Colorado,DevOps/SysAdmin,Sometimes
0,26-100,1,,,,0,0,,3,,0,,,,0,,,,,,,,1,,N/A (0t currently aware),,0ne did,,,Some of them,"0, at 0ne of my previous employers",,Some did,Some of them,,,0,,,,3,"1, I observed",,,0,0,,,0,,0,,,22,Male,Netherlands,,Netherlands,,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never
0,6-25,1,,0,0,0,0,,4,1,0,0,0,,0,,,,,,,,1,"1, they all did",I was aware of some,0ne did,0ne did,0,,0ne of them,Some of my previous employers,"0, at 0ne of my previous employers",0ne did,Some of them,1,,0,,,,4,Maybe/0t sure,N/A,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Eating Disorder (A0rexia, Bulimia, etc)",1,0,3,24,Female,United States of America,California,United States of America,California,Front-end Developer,Never
0,More than 1000,0,1,,,0,1,,5,1,0,0,0,0,0,,,,,,,,1,,N/A (0t currently aware),0ne did,0ne did,,,0ne of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,0ne of them,Maybe,,Maybe,,1,1,1,Maybe/0t sure,0,,0,,,,0,,0,,,41,Male,United Kingdom,,United Kingdom,,Front-end Developer,Never
0,1-5,1,,0,,,,,4,0,0,0,,,0,,,,,,,,1,Some did,I was aware of some,,Some did,,Some of them,Some of them,Some of my previous employers,Some of my previous employers,,Some of them,,"If I was desperate for the job, I would 0t want to jeopardize my candidacy. On the other hand, if the health issue was very serious and could interfere with the responsibilities of the position, I feel that the employer should probably k0w about it.",,"If I was desperate for the job, I would 0t want to jeopardize my candidacy. On the other hand, if the health issue was very serious and could interfere with the responsibilities of the position, I feel that the employer should probably k0w about it.",,,2,/0t sure,1,,0,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Para0id, etc)|Substance Use Disorder|Addictive Disorder",0,,0,,,28,Male,Canada,,Canada,,Front-end Developer,Always
0,100-500,1,,1,0,0,1,,4,1,0,0,,,0,,,,,,,,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,0ne of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,,"I would rather 0t bring something up unless I was sure it would impact my job, because I am always concerned that people will find it easier to turn me down as a candidate.",0,They are still stigmatized and without obvious mentions of acceptance by the employer beforehand I would worry that there would be hidden (or 0t so hidden) prejudice.  Again I would worry about being written off for the job.,1,,,"1, I observed",,0,0,,,"Psychotic Disorder (Schizophrenia, Schizoaffective, etc)|Stress Response Syndromes",0,,0,,1,43,Female,United States of America,California,United States of America,California,DevOps/SysAdmin,Sometimes
0,6-25,1,,,,0,0,,4,1,1,0,1,,0,,,,,,,,0,,,,,,,,,,,,0,It would negatively affect my chances of gaining employment,0,It is impossible to talk about mental health issues with people you don't k0w and trust. You don't k0w how they will react and in my experience there is never any positive or favourable reaction to discussing mental health issues,1,1,2,"1, I experienced",1,0,0,1,"Mood Disorder (Depression, Bipolar Disorder, etc)|Anxiety Disorder (Generalized, Social, Phobia, etc)",,0,,1,,4,21,Male,Australia,,Australia,,Front-end Developer,Never
0,6-25,1,,1,1,0,0,,4,0,0,1,1,1,0,,,,,,,,1,Some did,"0, I only became aware later",Some did,0ne did,0,"1, all of them",Some of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,1,"If I had physical health issues, I would want to make sure there are provisions for my health needs or concerns before accepting a position with a new company.",Maybe,"I may 0t bring up a mental health issue in an interview with a potential employer, because I would be afraid that it might influence their decision about whether or 0t to hire me. They might view me as unstable or unqualified to properly do my job.",1,1,4,"1, I experienced",0,1,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",,0,,1,4,4,28,Female,United States of America,Michigan,United States of America,Michigan,Back-end Developer|Front-end Developer,Always
0,6-25,1,,,,0,0,,4,0,0,,1,0,0,,,,,,,,0,,,,,,,,,,,,1,,Maybe,,1,0,3,0,,0,0,0,,,0,,0,,,23,Male,United Kingdom,,United Kingdom,,Back-end Developer,Never
0,6-25,1,,1,1,0,0,,3,0,0,0,,,0,,,,,,,,1,Some did,"1, I was aware of all of them",Some did,Some did,"1, always",Some of them,Some of them,Some of my previous employers,"0, at 0ne of my previous employers",Some did,Some of them,1,,0,"0t unless I knew what their track record was with mental illness, I would have to k0w I could trust them and that they wouldn't judge me negatively",,,2,"1, I observed",N/A,1,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",0,,1,,4,36,Female,United States of America,Oregon,United States of America,Oregon,Front-end Developer,Never
0,More than 1000,0,1,0,,1,1,,2,0,0,,1,0,0,,,,,,,,1,"0, 0ne did",I was aware of some,0ne did,0ne did,,,Some of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,1,"I feel it's best to be candid in an interview, especially in regards to how the employer might be able to accommodate a physical (or mental) health issue.",Maybe,"I feel it's best to be candid in an interview, however mental health issues are still a stigma ?€? I'd likely play it by ear and balance the decision of whether to bring it up during an interview based on the tone and thoroughness of the interview.",,,2,"1, I experienced",Maybe,1,1,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,0,1,36,Male,United States of America,Texas,United States of America,Texas,DevOps/SysAdmin|Back-end Developer|Front-end Developer|Designer,Never
0,1-5,1,,0,,0,0,0,1,0,0,1,1,,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,0,0ne of them,0ne of them,Some of my previous employers,Some of my previous employers,,0ne of them,1,"It's simple: They need to k0w who they're hiring.
",1,Again: They need to k0w who they're hiring.,0,0,3,0,,1,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Para0id, etc)|Stress Response Syndromes",0,,0,1,1,32,Male,Iran,,Iran,,Other|Dev Evangelist/Advocate|Support,Sometimes
0,6-25,0,1,,0,0,0,,3,,,,1,,0,,,,,,,,1,Some did,"1, I was aware of all of them",Some did,Some did,,0ne of them,0ne of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,0,I am fortunate e0ugh to 0t have a condition that requires accommodation. ,0,0t everybody understands mental health. Would worry about being perceived negatively. ,,,4,0,,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,0,3,38,Female,United States of America,Massachusetts,United States of America,Massachusetts,Back-end Developer|Front-end Developer,Never
0,26-100,1,,0,,0,0,,3,,0,1,1,,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,,Some of them,Some of my previous employers,Some of my previous employers,,0ne of them,0,I feel they might be biased,0,They will definitely be biased,1,,2,Maybe/0t sure,Maybe,0,0,0,,,0,,0,,,38,Male,Ireland,,Ireland,,Designer|Supervisor/Team Lead,Sometimes
0,500-1000,0,1,,,,,,5,1,,0,0,0,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,"1, all of them",Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",,0ne of them,0,You don't want to give a potential employer a reason 0t to hire you.,0,"Same reason as before. Add to that the stigma associated with mental health. 0t a good idea. I think employers, especially big companies, see mental health issues like depression as undesirable.",1,1,3,Maybe/0t sure,N/A,0,,0,,,0,,0,,,32,Male,South Africa,,South Africa,,Front-end Developer,Never
0,More than 1000,1,,1,1,0,0,1,1,1,0,0,0,0,1,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,0,"1, all of them",Some of them,"0, at 0ne of my previous employers",Some of my previous employers,0ne did,"1, all of them",0,"0, I don't want them to feel like I would be a burden.",0,0 because I don't want them to think I can't perform my job or that they can't count on me in crunch time.,1,1,5,"1, I experienced",1,1,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Post-traumatic Stress Disorder",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Post-traumatic Stress Disorder",1,4,4,32,Female,United States of America,Florida,United States of America,Florida,Back-end Developer,Sometimes
0,6-25,1,,0,,1,0,1,1,0,0,,,,0,,,,,,,,1,Some did,"0, I only became aware later",0ne did,0ne did,,,Some of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,0,"If I felt it would reduce my chance of getting the job and at the same time it would 0t impede my ability to *do* the job, I wouldn't mention it.",0,"Same reason, if I felt it would reduce my chance of getting the job and at the same time it would 0t impede my ability to *do* the job, I wouldn't mention it.",,0,4,/0t sure,,0,0,0,,,0,,0,,,38,Male,France,,France,,Executive Leadership,Always
0,26-100,1,,0,,0,0,,1,0,0,1,1,0,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,1,It is good to be open,1,It is good to be open,,,4,0,,1,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,1,4,30,Male,United Kingdom,,United Kingdom,,Supervisor/Team Lead,Sometimes
0,More than 1000,0,1,1,1,0,1,1,3,0,0,1,,,0,,,,,,,,0,,,,,,,,,,,,0,I have MS and there are some stigmas with MS. Some people with MS have cognitive issues.,0,My mental health is currently well controlled so 0 one would k0w if I didn't tell them.,0,0,5,0,,,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,1,3,62,Female,United States of America,0rth Carolina,United States of America,0rth Carolina,Back-end Developer|One-person shop,Never
0,More than 1000,0,1,0,,0,0,,3,1,0,0,0,,1,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,Some of them,0ne of them,Some of my previous employers,"0, at 0ne of my previous employers",Some did,Some of them,0,Might prejudice hiring decision,0,Would definitely 0t be hired,1,1,4,"1, I observed",Maybe,,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,4,4,32,Male,United Kingdom,,United Kingdom,,Supervisor/Team Lead,Never
0,6-25,1,,0,,1,0,1,1,0,0,,1,1,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,1,"The employer needs to be aware of how to treat me equally and with respect. If they don't k0w my (theoretical) condition, they can't be expected to uphold any kind of legal requirements, or provide any help or support.",Maybe,"Depends on the issue. It may 0t be relevant or might 0t require their support. If it was pertinent, I probably would.",,,2,"1, I observed",0,,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",0,,0,0,3,39,Male,United Kingdom,,United Kingdom,,DevOps/SysAdmin,Always
0,100-500,1,,0,,0,1,,,1,0,1,1,0,1,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,0,"1, all of them",Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,Some of them,0,Doesn't concern them,0,Doesn't concern them,1,1,1,"1, I observed",0,0,,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Stress Response Syndromes",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)",0,4,4,37,Male,Bulgaria,,Bulgaria,,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Always
0,1-5,1,,0,,0,0,,2,0,0,,,,0,,,,,,,,1,,N/A (0t currently aware),,0ne did,,0ne of them,0ne of them,Some of my previous employers,,,0ne of them,1,,,Depending on the company's culture I would be afraid that it may come off as a weakness or leave a bad impression.,,,4,0,,0,0,0,,,0,,0,,,24,Male,United States of America,Ohio,United States of America,Ohio,Front-end Developer|Back-end Developer,Always
0,More than 1000,1,,0,,0,,,5,1,0,0,0,0,1,,,,,,,,1,Some did,N/A (0t currently aware),0ne did,0ne did,,"1, all of them",0ne of them,"0, at 0ne of my previous employers",Some of my previous employers,0ne did,Some of them,Maybe,Could be seen as a potential problem in the future ,0,Stigma,1,1,1,"1, I observed",1,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,3,4,38,Male,New Zealand,,New Zealand,,Other,Never
0,26-100,1,,,0,1,,,1,0,0,,1,1,0,,,,,,,,1,"1, they all did","1, I was aware of all of them",0ne did,"1, they all did",,Some of them,Some of them,"1, at all of my previous employers",Some of my previous employers,Some did,Some of them,0,I don't want to add any cause for bias until the hiring has been decided one way or a0ther.,0,I don't want to add any cause for bias until the hiring has been decided one way or a0ther.,,0,2,Maybe/0t sure,0,0,0,0,,,0,,0,,,25,Female,United States of America,Kansas,United States of America,Kansas,Back-end Developer,Sometimes
0,100-500,1,,0,,0,0,0,,1,,0,0,0,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,0,"1, all of them",Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,Some of them,0,Dramatically lower chance of success.,0,"Lose out on job, for a certainty.",1,,4,"1, I observed",1,0,,,,"Personality Disorder (Borderline, Antisocial, Para0id, etc)|Substance Use Disorder|Addictive Disorder",0,,0,,,41,Male,South Africa,,South Africa,,DevOps/SysAdmin,Sometimes
0,100-500,1,,0,,0,0,,5,,0,1,0,,0,,,,,,,,1,Some did,I was aware of some,0ne did,0ne did,Sometimes,Some of them,0ne of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,1,I have diabetes and it's a natural thing to mention.,0,I feel there is to much of a stigma attached to mental health issues to bring them up in an interview,,,4,Maybe/0t sure,Maybe,1,0,0,,,0,,0,,,43,Male,Sweden,,Sweden,,Back-end Developer,Never
0,More than 1000,1,,,,1,1,,4,1,0,0,0,0,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,"1, all of them",0ne of them,Some of my previous employers,"0, at 0ne of my previous employers",0ne did,0ne of them,0,,0,,1,1,4,0,,1,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,0,4,27,Male,Australia,,Australia,,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Sometimes
0,6-25,1,,0,,0,0,,,,0,,,0,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,,0ne of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,0ne of them,1,"physical health issues are easier for other people to see, depression is easy for others to dismiss",0,previous attempts haven't gone well,,,4,N/A,,0,1,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",0,,0,3,4,24,Male,United Kingdom,,United Kingdom,,Front-end Developer,Never
0,26-100,1,,0,,0,0,,3,,0,,1,1,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,0ne of them,0ne of them,"1, at all of my previous employers",Some of my previous employers,"1, they all did",0ne of them,1,K0wledge about this will make it easier to k0w if the job is right for me and if I'll be able to handle it.,1,same as above,1,,3,"1, I observed",0,0,,0,,,0,,1,3,3,35,Male,Bulgaria,,Bulgaria,,DevOps/SysAdmin|Supervisor/Team Lead,Sometimes
0,100-500,1,,,,1,,,2,0,0,,,1,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,1,I would feel dishonest if I didn't share k0wn physical issue,,Mental issue are still considered a bit of a taboo and I have trouble expressing how I feel. It will greatly depend on how I feel on the moment with the interviewer,,,4,/0t sure,N/A,,0,,,"Personality Disorder (Borderline, Antisocial, Para0id, etc)|Addictive Disorder",0,,1,,,31,Male,Switzerland,,Switzerland,,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
0,100-500,1,,0,,0,0,,2,,0,0,,0,1,,,,,,,,1,"0, 0ne did",I was aware of some,0ne did,0ne did,,Some of them,Some of them,"0, at 0ne of my previous employers",Some of my previous employers,0ne did,0ne of them,,"Interviews are a process of elimination. I don't want to give the employer a reason to eliminate me.
If the physical issue were something with clear protections under the law (eg vision impairment, mobility issues), then I would disclose.",0,"Because I think that it would put me as a candidate into the ""too hard basket"". It is much to easy to justify 0t employing someone on other criteria when the mental illness was actually a significant factor thereby avoiding accusations of discrimination.",1,,4,"1, I observed",1,1,1,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,1,3,44,Male,Australia,,Australia,,Executive Leadership,Sometimes
0,26-100,0,0,1,1,1,1,1,3,,0,1,1,,1,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,"1, all of them","1, all of them","0, at 0ne of my previous employers","0, at 0ne of my previous employers",Some did,Some of them,Maybe,I would 0t want it to prevent me from getting the job.,0,I feel like that would negatively affect my employment opportunities.,1,1,4,"1, I experienced",Maybe,,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,3,4,36,Female,United States of America,Indiana,United States of America,Indiana,Other,Sometimes
0,6-25,1,,1,1,0,0,1,4,1,0,,,,0,,,,,,,,1,"1, they all did","1, I was aware of all of them","1, they all did","1, they all did","1, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,0,It's 0t relevant.,0,It's 0t relevant.,1,,4,0,,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,3,4,36,Female,United States of America,Tennessee,United States of America,Tennessee,Other,Never
0,100-500,1,,1,0,0,0,,2,,0,0,,,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,"1, all of them",Some of them,Some of my previous employers,Some of my previous employers,,Some of them,,I think it could lead to 0t being hired.,0,I think it would definitely lead to 0t being hired.,,,3,/0t sure,,0,,,,post-partum / anxiety,0,,0,0,3,41,Female,United States of America,Colorado,United States of America,Colorado,Supervisor/Team Lead|Front-end Developer,Never
0,More than 1000,0,0,1,1,1,1,1,3,0,,,0,1,0,,,,,,,,1,Some did,"1, I was aware of all of them",0ne did,Some did,"1, always",Some of them,Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,Some of them,Maybe,The interviewer might be uninformed as to the impact of my disability on my ability to do the job.,0,There is a stigma surrounding mental health issues.  I must trust someone before sharing that info.,,,4,Maybe/0t sure,0,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,3,4,54,Female,United States of America,Texas,United States of America,Texas,Other,Never
0,6-25,0,1,0,,0,0,,4,,1,0,0,0,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),Some did,0ne did,0,0ne of them,"1, all of them",Some of my previous employers,"0, at 0ne of my previous employers",Some did,0ne of them,1,,Maybe,,1,0,2,0,,1,0,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder|Stress Response Syndromes",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Stress Response Syndromes",0,1,4,22,Male,Brazil,,Brazil,,Front-end Developer,Always
0,More than 1000,1,,,,0,0,,3,,,0,1,,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),Some did,Some did,,Some of them,"1, all of them","0, at 0ne of my previous employers",Some of my previous employers,Some did,Some of them,0,Unless it would affect my ability to perform my duties my health is of 0 relevance to my employer.,0,Again - unless I think it would affect my ability to do my job it is 0ne of their business.,1,,3,"1, I observed",1,1,1,0,,,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",0,,,39,Male,Australia,,Australia,,Other|Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Support,Sometimes
